path_id,source_class,status,barrier_shape,qe_reported_forward_candidate_eV,qe_reported_reverse_candidate_eV,discrete_forward_candidate_eV,discrete_reverse_candidate_eV,endpoint_delta_eV,peak_image,max_movable_error_eV_A,max_all_image_error_eV_A,barrier_drift_last_three_eV,last_complete_iteration,job_done,converged_by_default_gate,n_images,source_mtime_utc,source_sha256,source_file
1-2_historical,historical,historical_candidate_quarantine,interior_peak_candidate,2.790171,1.01533,2.7901705999975093,1.0153299999947194,1.7748406000027899,4,3.212886,3.212886,0.03630999999999984,121,False,False,5,2024-11-07T07:27:59+00:00,6d999c9608be0a68f0845fa195f58eeb0ad94f7b2c20cbb90e0b82288b47bddf,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-2/neb.out
1-3_historical,historical,historical_candidate_quarantine,interior_peak_candidate,4.003362,3.950126,4.003362199990079,3.9501261000114027,0.053236099978676066,3,5.364093,5.364093,0.028348999999999513,25,False,False,5,2024-11-07T04:24:10+00:00,31197001d9d91664ee2bbccb56767ae1c8cf83df68d0b289b57a81334738cac3,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-3/neb.out
1-4_historical,historical,historical_candidate_quarantine,interior_peak_candidate,0.33605,0.016829,0.3360499999835156,0.01682939997408539,0.3192206000094302,3,0.482407,0.482407,0.0005189999999999917,261,False,False,5,2024-11-07T13:39:18+00:00,41fad90be066083c6c588454c0638710e0be405eb4f34dd53d97daaa46ede11b,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-4/neb.out
1-5_historical,historical,historical_candidate_quarantine,interior_peak_candidate,1.099583,0.753468,1.0995831999753136,0.7534680999815464,0.3461150999937672,2,4.673162,4.673162,0.0025960000000000427,261,False,False,5,2024-11-07T15:34:48+00:00,e45ffd1b6c93a19633e5a9e83d3a8e264c53d44f6da8157efc1d7c815ace2384,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-5/neb.out
1-6_historical,historical,historical_candidate_quarantine,interior_peak_candidate,1.026035,0.205627,1.026034799986519,0.20562659998540767,0.8204082000011113,3,0.584852,0.584852,0.037860000000000005,87,False,False,5,2024-11-07T06:52:39+00:00,7226aaf276a6860b840c2d7eea320fdf4973010280d8a73052940775dabfc42d,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-6/neb.out
1-7_historical,historical,historical_candidate_quarantine,interior_peak_candidate,0.582586,0.02465,0.5825860000040848,0.02464960000361316,0.5579364000004716,3,0.291742,0.291742,0.08992699999999998,120,False,False,5,2024-11-07T08:20:07+00:00,7839f02e5836cc18a5ef66eb2e969ff719dd13d57956fdab205c243c744a1b71,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-7/neb.out
1-8_historical,historical,historical_candidate_quarantine,interior_peak_candidate,1.75562,0.989243,1.7563739999895915,0.9899776999955066,0.766396299994085,2,0.327388,0.327388,0.0012060000000000404,999,True,False,5,2024-11-09T10:15:16+00:00,48adf69c21f63015c4b7eaa4aa9ac2df29b275b04c677c94941642163c424996,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/legacy_61/1-8/neb.out
81_neb_1,historical,historical_candidate_quarantine,interior_peak_candidate,1.034728,1.030269,1.0347285000025295,1.030268900009105,0.00445959999342449,5,0.355916,0.355916,0.002593999999999985,54,True,False,10,2025-10-18T01:22:41+00:00,930f343dc5b2b8a538d62a97c9fa6ee0b739e911a6861b575d6fc14fcaae97e0,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_1/neb.out
81_neb_2,historical,historical_candidate_quarantine,interior_peak_candidate,1.561262,2.111153,1.5612623999768402,2.111152500001481,-0.5498901000246406,6,0.63572,0.63572,0.023973000000000022,55,True,False,10,2025-10-18T01:22:40+00:00,36cc5090b9ae8757e3f70b7bd23a7075b5ef219bcd8112c616e1da87dbc2e99c,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_2/neb.out
81_neb_3,historical,historical_candidate_quarantine,interior_peak_candidate,1.691053,1.668197,1.6910526000137907,1.6681968000193592,0.022855799994431436,6,0.231831,0.231831,0.0006150000000000322,53,True,False,10,2025-10-18T01:22:41+00:00,0221db647e64ecb5d81ef55dad664096d24f2cbd9e55daac59bd3986e36c3ad9,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_3/neb.out
81_neb_4,historical,historical_candidate_quarantine,interior_peak_candidate,2.063858,1.543546,2.0638575999764726,1.543546000000788,0.5203115999756847,6,0.526984,0.526984,0.005510999999999822,54,True,False,10,2025-10-18T01:22:41+00:00,d0af7a9c263c24657e8e3abafd00b337b17f6cfd94f3a7ca5e765bfe6b195d78,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_4/neb.out
81_neb_5,historical,historical_candidate_quarantine,interior_peak_candidate,1.414868,1.06583,1.4148676999902818,1.065830300009111,0.3490373999811709,7,0.319104,0.319104,0.0003670000000000062,61,True,False,10,2025-10-18T01:22:40+00:00,0874029f5dc25c882c6014117e29f0948fc330139a00b5613301af3e0d17a193,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_5/neb.out
1-6_qe_r3,current,running_unconverged_synced_snapshot,endpoint_dominated,0.8204,-0.0,0.8203998999961186,0.0,0.8203998999961186,5,0.202478,3.854601,0.0,125,False,False,5,2026-09-13T12:52:51+00:00,372b102a80afafbf5ea5347cb8192166b86210042741203e3717fd544ef60b1d,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_r3_s42_30812496/neb.out
1-7_qe_r3,current,running_unconverged_synced_snapshot,endpoint_dominated,0.557933,0.0,0.557933400006732,0.0,0.557933400006732,5,0.234097,1.592918,0.0,130,False,False,5,2026-09-13T12:52:05+00:00,444f08381e7a4904946276747e2faa871aded58be662e56bdb96e138c127205d,/Users/alina/Project/26MIgrationBench/cluster/mb_qe17_direct_r3_s42_30812497/neb.out
