      0.0000000000      0.0000000000      0.1356832079
      0.1056279620     -0.1500892961      0.1188537279
      0.2159057479      0.0331087879      0.1283999249
      0.3271739827      0.5135228711      0.1901254131
      0.4423079537      1.0347284345      0.2146785741
      0.5441008233      0.8906188982      0.3312784170
      0.6516146946      0.6163071797      0.3559163218
      0.7728241149      0.2745846518      0.2456805675
      0.8884850716      0.0825623076      0.2110678946
      1.0000000000      0.0044595767      0.1284236334
