path,directory,file,suffix,size_bytes,kind,calculation,nat,ntyp,prefix,num_of_images,job_done,has_error_hint,error_hints,final_total_energy_Ry,n_total_energy_lines,neb_first_activation_forward_eV,neb_activation_overflow,neb_initial_path_length_bohr,classification
/scratch16/pclancy3/victor/nebProject/Sb2Te3.cif,/scratch16/pclancy3/victor/nebProject,Sb2Te3.cif,.cif,1553,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/rel_vcrelax_sb2te3_60.cif,/scratch16/pclancy3/victor/nebProject/newrelax,rel_vcrelax_sb2te3_60.cif,.cif,86,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735940.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735940.out,.out,2413,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17783155.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17783155.out,.out,2559,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735945.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735945.out,.out,2506,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/nonrel_sb2te3_vcrelax_output_60.xyz,/scratch16/pclancy3/victor/nebProject/newrelax,nonrel_sb2te3_vcrelax_output_60.xyz,.xyz,6629,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/spinorb_rel_sb2te3_vcrelax_output_60.cif,/scratch16/pclancy3/victor/nebProject/newrelax,spinorb_rel_sb2te3_vcrelax_output_60.cif,.cif,3855,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/rel_sb2te3_vcrelax_output_60.cif,/scratch16/pclancy3/victor/nebProject/newrelax,rel_sb2te3_vcrelax_output_60.cif,.cif,3856,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/nonrel_sb2te3_vcrelax_output_60.out,/scratch16/pclancy3/victor/nebProject/newrelax,nonrel_sb2te3_vcrelax_output_60.out,.out,2412565,qe_output_unknown,,,,,,True,True,stopping,-5394.64193197,38,,False,,quarantine_or_restart_review
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17770968.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17770968.out,.out,2314,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735942.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735942.out,.out,2416,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735941.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735941.out,.out,2413,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17770964.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17770964.out,.out,2617,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/nonrel_sb2te3_vcrelax_output_60.cif,/scratch16/pclancy3/victor/nebProject/newrelax,nonrel_sb2te3_vcrelax_output_60.cif,.cif,3856,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/rel_vcrelax_sb2te3_60.in,/scratch16/pclancy3/victor/nebProject/newrelax,rel_vcrelax_sb2te3_60.in,.in,4849,vc-relax,vc-relax,60,2,sb2te3_60,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735944.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735944.out,.out,2314,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/nonrel_vcrelax_sb2te3_60.in,/scratch16/pclancy3/victor/nebProject/newrelax,nonrel_vcrelax_sb2te3_60.in,.in,4805,vc-relax,vc-relax,60,2,sb2te3_60,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/rel_sb2te3_vcrelax_output_60.xyz,/scratch16/pclancy3/victor/nebProject/newrelax,rel_sb2te3_vcrelax_output_60.xyz,.xyz,6622,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17782786.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17782786.out,.out,2515,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/spinorb_rel_vcrelax_sb2te3_60.in,/scratch16/pclancy3/victor/nebProject/newrelax,spinorb_rel_vcrelax_sb2te3_60.in,.in,4866,vc-relax,vc-relax,60,2,sb2te3_60,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/spinorb_rel_sb2te3_vcrelax_output_60.xyz,/scratch16/pclancy3/victor/nebProject/newrelax,spinorb_rel_sb2te3_vcrelax_output_60.xyz,.xyz,6624,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/rel_sb2te3_vcrelax_output_60.out,/scratch16/pclancy3/victor/nebProject/newrelax,rel_sb2te3_vcrelax_output_60.out,.out,2033751,qe_output_unknown,,,,,,True,False,,-9678.92534169,30,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/spinorb_rel_sb2te3_vcrelax_output_60.out,/scratch16/pclancy3/victor/nebProject/newrelax,spinorb_rel_sb2te3_vcrelax_output_60.out,.out,1948346,qe_output_unknown,,,,,,False,False,,-9679.06652873,4,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/rel_vcrelax_sb2te3_60.xyz,/scratch16/pclancy3/victor/nebProject/newrelax,rel_vcrelax_sb2te3_60.xyz,.xyz,45,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735943.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735943.out,.out,2518,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/newrelax/slurm-17735952.out,/scratch16/pclancy3/victor/nebProject/newrelax,slurm-17735952.out,.out,2416,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/neb/slurm-17165697.out,/scratch16/pclancy3/victor/nebProject/neb,slurm-17165697.out,.out,1941,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/nebProject/neb/sb2te3.xyz,/scratch16/pclancy3/victor/nebProject/neb,sb2te3.xyz,.xyz,15590,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate
/scratch16/pclancy3/victor/nebProject/neb/pw_2.in,/scratch16/pclancy3/victor/nebProject/neb,pw_2.in,.in,4270,qe_input_unknown,,61,3,sb2te3,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/nebProject/neb/neb.out,/scratch16/pclancy3/victor/nebProject/neb,neb.out,.out,911410,neb,,,,,5,True,False,,,0,4.878008,False,8.3845,completed_neb_candidate
