path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score,representative_rank_within_class,selection_reason
joshitha_sites::joshitha_sites::unique_074__to__joshitha_sites::joshitha_sites::unique_166,joshitha_sites,joshitha_sites::joshitha_sites::unique_074,joshitha_sites::joshitha_sites::unique_166,cn7_te4,cn7_te3,7.8624,7.8624,-0.004334,0.0,in_gap_or_open_channel_candidate,0.135705,0.862898,0.773689,1,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_070__to__joshitha_sites::joshitha_sites::unique_073,joshitha_sites,joshitha_sites::joshitha_sites::unique_070,joshitha_sites::joshitha_sites::unique_073,cn6_te3,cn7_te4,0.402,0.402,-0.524017,0.15,in_gap_or_open_channel_candidate,0.099114,0.649685,0.527811,2,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_047__to__joshitha_sites::joshitha_sites::unique_096,joshitha_sites,joshitha_sites::joshitha_sites::unique_047,joshitha_sites::joshitha_sites::unique_096,cn7_te3,cn6_te3,4.1303,4.1303,-2.293121,-0.15,in_gap_or_open_channel_candidate,0.221407,0.674248,0.530634,3,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_100__to__joshitha_sites::joshitha_sites::unique_139,joshitha_sites,joshitha_sites::joshitha_sites::unique_100,joshitha_sites::joshitha_sites::unique_139,cn6_te3,cn7_te4,5.9967,5.9967,-1.988129,0.15,in_gap_or_open_channel_candidate,0.243587,0.706066,0.589634,4,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_095__to__joshitha_sites::joshitha_sites::unique_146,joshitha_sites,joshitha_sites::joshitha_sites::unique_095,joshitha_sites::joshitha_sites::unique_146,cn7_te4,cn7_te4,2.271,2.271,-0.028595,0.0,in_gap_or_open_channel_candidate,0.040094,0.782161,0.639957,5,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_069__to__joshitha_sites::joshitha_sites::unique_183,joshitha_sites,joshitha_sites::joshitha_sites::unique_069,joshitha_sites::joshitha_sites::unique_183,cn10_te4,cn7_te3,6.9334,6.9334,1.188965,-0.3,in_gap_or_open_channel_candidate,0.308532,0.635127,0.606618,6,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_009__to__joshitha_sites::joshitha_sites::unique_083,joshitha_sites,joshitha_sites::joshitha_sites::unique_009,joshitha_sites::joshitha_sites::unique_083,cn7_te4,cn7_te4,5.0591,5.0591,0.473511,0.0,in_gap_or_open_channel_candidate,0.102755,0.814927,0.684537,7,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_127__to__joshitha_sites::joshitha_sites::unique_185,joshitha_sites,joshitha_sites::joshitha_sites::unique_127,joshitha_sites::joshitha_sites::unique_185,cn6_te3,cn7_te3,3.178,3.178,2.801697,0.15,in_gap_or_open_channel_candidate,0.221665,0.652227,0.48346,8,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_145__to__joshitha_sites::joshitha_sites::unique_175,joshitha_sites,joshitha_sites::joshitha_sites::unique_145,joshitha_sites::joshitha_sites::unique_175,cn7_te4,cn9_te4,1.3421,1.3421,1.542724,-0.1,in_gap_or_open_channel_candidate,0.123727,0.67899,0.515452,9,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_097__to__joshitha_sites::joshitha_sites::unique_143,joshitha_sites,joshitha_sites::joshitha_sites::unique_097,joshitha_sites::joshitha_sites::unique_143,cn6_te3,cn7_te4,7.3062,7.3062,-0.761993,0.15,in_gap_or_open_channel_candidate,0.225959,0.744984,0.679982,10,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_084__to__joshitha_sites::joshitha_sites::unique_155,joshitha_sites,joshitha_sites::joshitha_sites::unique_084,joshitha_sites::joshitha_sites::unique_155,cn7_te4,cn7_te4,6.5239,6.5239,0.022492,0.0,in_gap_or_open_channel_candidate,0.113222,0.843368,0.741078,11,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_067__to__joshitha_sites::joshitha_sites::unique_141,joshitha_sites,joshitha_sites::joshitha_sites::unique_067,joshitha_sites::joshitha_sites::unique_141,cn10_te4,cn7_te4,5.4849,5.4849,-0.128327,-0.3,in_gap_or_open_channel_candidate,0.248778,0.631704,0.623577,12,farthest_point_sampling_in_descriptor_space
