      0.0000000000      0.0000000000      0.5053133660
      0.0799117808      1.7003711166     11.2613748845
      0.1842465709      6.5600417841     32.8375090436
      0.3809108400    800.5581460304      6.5170414625
      0.5044083986    797.9032518425     11.9345490074
      0.6165680484      8.4888838027     17.2283194507
      0.7207952115      3.5305202393      4.7921878689
      0.8136023075      3.7389375442      1.3792168431
      0.9070076218      3.1398112473      1.0603606677
      1.0000000000      2.8282645899      0.7274236063
