path_id,image_index_qe,variant,job_id,ionic_step,energy_eV,energy_above_current_final_eV,max_atom_force_eV_A,total_force_eV_A
1-5,2,direct,30850846,0,-133596.34114360355,2.79760153152165,0.05322162695207529,7.268097861238853
1-5,2,direct,30850846,1,-133593.49006992936,5.648675205709878,0.057325835043282855,19.257564269884043
1-5,2,direct,30850846,2,-133596.2893636009,2.849381534178974,0.05219545510963686,11.578809777779252
1-5,2,direct,30850846,3,-133596.36666801994,2.7720771151361987,0.05283855411976454,1.6065282320953733
1-5,2,direct,30850846,4,-133596.41168667338,2.72705846169265,0.05304129994346901,1.4626749983303517
1-5,2,direct,30850846,5,-133596.46023845323,2.6785066818410996,0.05322439723010143,1.402279780079407
1-5,2,direct,30850846,6,-133596.53165228743,2.6070928476401605,0.053376715896841634,1.407679097164421
1-5,2,direct,30850846,7,-133596.63941019328,2.4993349417927675,0.05354091887084166,1.4478397318634317
1-5,2,direct,30850846,8,-133596.7899167788,2.348828356276499,0.06011702486589783,1.4191462182116419
1-5,2,direct,30850846,9,-133596.99500858877,2.1437365463061724,0.07470932206399221,1.6701373295635884
1-5,2,direct,30850846,10,-133597.23783565254,1.900909482530551,0.09268262019865502,2.347777334766611
1-5,2,direct,30850846,11,-133597.42443378805,1.7143113470228855,0.10824730869272672,3.3121724992513646
1-5,2,direct,30850846,12,-133597.45663506226,1.6821100728120655,0.1094973791530762,2.1631721125266012
1-5,2,direct,30850846,13,-133597.5213875491,1.6173575859866105,0.11036384099005228,1.653656556937426
1-5,2,direct,30850846,14,-133597.60062778613,1.5381173489440698,0.11048699684165808,1.8018035333367208
1-5,2,direct,30850846,15,-133597.6947616312,1.4439835038792808,0.10969715388522172,2.810961607559616
1-5,2,direct,30850846,16,-133597.74629428235,1.3924508527270518,0.10905206404873122,3.1822289347386894
1-5,2,direct,30850846,17,-133597.81118922078,1.3275559142930433,0.10959148153655787,1.6929944385568154
1-5,2,direct,30850846,18,-133597.87339744298,1.2653476920968387,0.10974420507696254,1.8056601883974452
1-5,2,direct,30850846,19,-133597.95053832157,1.1882068135018926,0.10955522897898706,2.7311288478026206
1-5,2,direct,30850846,20,-133598.04193143582,1.0968136992596556,0.10907674664111985,3.4448671443740233
1-5,2,direct,30850846,21,-133598.13280181936,1.0059433157148305,0.1079452040463033,3.895915809242616
1-5,2,direct,30850846,22,-133598.21166041668,0.927084718394326,0.10567749087059732,3.3454939989760244
1-5,2,direct,30850846,23,-133598.23468846048,0.9040566745970864,0.10543837825683242,1.1991369025141816
1-5,2,direct,30850846,24,-133598.25073909663,0.8880060384399258,0.10429218037278512,0.9656550051379238
1-5,2,direct,30850846,25,-133598.2736392469,0.8651058881659992,0.10373527938201649,0.9304308889166405
1-5,2,direct,30850846,26,-133598.30295937954,0.8357857555383816,0.10329896313947988,1.7390943220493416
1-5,2,direct,30850846,27,-133598.31985588165,0.8188892534235492,0.10335552741370382,1.6857953491101296
1-5,2,direct,30850846,28,-133598.33517983777,0.8035652973048855,0.10339229419194941,1.0056099515670291
1-5,2,direct,30850846,29,-133598.35504945595,0.7836956791288685,0.1030549654293047,1.0520183674644132
1-5,2,direct,30850846,30,-133598.38882490882,0.7499202262551989,0.10154315664550072,3.266098326792577
1-5,2,direct,30850846,31,-133598.42142727887,0.7173178562079556,0.09560133674861127,6.590972076710594
1-5,2,direct,30850846,32,-133598.4700846389,0.6686604961869307,0.0854722178971246,6.5823331693745715
1-5,2,direct,30850846,33,-133598.54846050622,0.5902846288518049,0.0818621316503529,3.4002585008383113
1-5,2,direct,30850846,34,-133598.60307090124,0.5356742338335607,0.08220100307502022,1.8063800973421138
1-5,2,direct,30850846,35,-133598.6591430919,0.47960204316768795,0.08191278238681683,1.3078431531591346
1-5,2,direct,30850846,36,-133598.73307452354,0.40567061153706163,0.08224908270811035,3.860126050279093
1-5,2,direct,30850846,37,-133598.811075418,0.32766971708042547,0.08105531941165336,6.725363650059972
1-5,2,direct,30850846,38,-133598.86483559324,0.2739095418364741,0.08050381773797256,5.756366210536087
1-5,2,direct,30850846,39,-133598.92698626337,0.2117588717082981,0.07992814769257806,4.000379739320772
1-5,2,direct,30850846,40,-133599.0016183882,0.13712674687849358,0.07932728083412031,1.3672099300605527
1-5,2,direct,30850846,41,-133599.0541620784,0.08458305668318644,0.0790514014421113,2.899124742247777
1-5,2,direct,30850846,42,-133599.07444653416,0.0642986009188462,0.07892670292848185,2.6968817508633873
1-5,2,direct,30850846,43,-133599.084727268,0.05401786707807332,0.07945326489943666,2.85415614423973
1-5,2,direct,30850846,44,-133599.13874513507,0.0,0.07988392471454865,1.4674058285381737
1-5,2,transformed,30850847,0,-133593.48239577422,8.13261489753495,0.045764411869034856,19.567999291238625
1-5,2,transformed,30850847,1,-133597.97971423386,3.6352964378893375,0.08130034556277027,3.5831410838178646
1-5,2,transformed,30850847,2,-133598.21930613593,3.3957045358256437,0.08620163992427628,2.1435288827506445
1-5,2,transformed,30850847,3,-133598.39322662266,3.2217840490920935,0.0894512574784427,1.4201489485274301
1-5,2,transformed,30850847,4,-133598.4721322957,3.1428783760638908,0.09006626540545955,1.4397921783033867
1-5,2,transformed,30850847,5,-133598.5379355502,3.0770751215459313,0.089099787647242,1.498413335226398
1-5,2,transformed,30850847,6,-133598.61261339017,3.0023972815833986,0.08642481169712354,1.3992201670645654
1-5,2,transformed,30850847,7,-133598.6929833079,2.922027363849338,0.08049918975148912,1.1848672787895012
1-5,2,transformed,30850847,8,-133598.73282567543,2.882184996327851,0.07806589751935618,1.2018365610566886
1-5,2,transformed,30850847,9,-133598.77192911773,2.843081554019591,0.08010606804645784,1.2765014030323136
1-5,2,transformed,30850847,10,-133598.82865642253,2.7863542492268607,0.08272293706030195,1.3662329107785023
1-5,2,transformed,30850847,11,-133598.90160293804,2.7134077337104827,0.08640809952595876,1.464320504489594
1-5,2,transformed,30850847,12,-133598.98897012768,2.626040544069838,0.09087410608624007,1.5662904642951483
1-5,2,transformed,30850847,13,-133599.04420733696,2.5708033347909804,0.09387998304054541,1.5397566774773643
1-5,2,transformed,30850847,14,-133599.11154422522,2.5034664465347305,0.0956069931767251,1.2979958272374181
1-5,2,transformed,30850847,15,-133599.1770100585,2.4380006132414564,0.09543241525764423,1.107837021709965
1-5,2,transformed,30850847,16,-133599.20861866872,2.4063920030312147,0.0955080056968339,1.1003551108921594
1-5,2,transformed,30850847,17,-133599.24903941425,2.365971257502679,0.09500329810455743,1.1002008446897305
1-5,2,transformed,30850847,18,-133599.2988924426,2.3161182291514706,0.095266321979003,1.150131672209243
1-5,2,transformed,30850847,19,-133599.35539552558,2.2596151461766567,0.0970774071955192,1.2553155112320675
1-5,2,transformed,30850847,20,-133599.41986378946,2.1951468822953757,0.10001283591740527,1.3509862677717719
