optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.3901119772853,0.0,1.15319853973375,,,True
0,1,-224.00271430184168,0.3873976754436228,1.1592644380872126,1.1582232004521384,1.1412203189696617,False
0,2,-223.93136326573853,0.4587487115467752,1.2603108167741652,1.2601328828139176,1.2322586856325324,False
0,3,-224.55228557673027,-0.16217359944496934,1.2039686874477868,1.2050828010240247,1.1812147285339458,False
0,4,-225.13940075212975,-0.7492887748444446,1.0805300261113435,,,True
1,0,-224.3901119772853,0.0,1.15319853973375,,,True
1,1,-224.2795024658887,0.11060951139660347,1.0616279803893072,1.0604322635883265,1.0437469369493442,False
1,2,-224.20778610431148,0.18232587297381997,1.1533106893430936,1.1533714744019574,1.1267500463033406,False
1,3,-224.78848365412873,-0.3983716768434249,1.1050071761836622,1.1063575936582781,1.0882760439556887,False
1,4,-225.13940075212975,-0.7492887748444446,1.0805300261113435,,,True
2,0,-224.3901119772853,0.0,1.15319853973375,,,True
2,1,-224.7312985065269,-0.34118652924161097,0.8780169990184252,0.8654448676588384,0.8475173528625046,False
2,2,-224.66203007819598,-0.2719181009106819,0.9528353453060021,0.9532030206423979,0.9282203775569912,False
2,3,-225.1788293123791,-0.7887173350937928,0.9204828805415738,0.9207173908753289,0.9161961342713546,False
2,4,-225.13940075212975,-0.7492887748444446,1.0805300261113435,,,True
3,0,-224.3901119772853,0.0,1.15319853973375,,,True
3,1,-225.13607704592215,-0.7459650686368491,0.673840866173234,0.6432453651461819,0.6234355429636104,False
3,2,-225.07438797035277,-0.6842759930674731,0.7299862992216213,0.7305355763878181,0.7062289242621951,False
3,3,-225.53710924987536,-1.1469972725900561,0.7154809727889757,0.7387147682311335,0.7376029394872862,False
3,4,-225.13940075212975,-0.7492887748444446,1.0805300261113435,,,True
4,0,-224.3901119772853,0.0,1.15319853973375,,,True
4,1,-225.43326276280732,-1.0431507855220161,0.4910472820146966,0.4644501503964895,0.4617820448781483,False
4,2,-225.38333210217945,-0.993220124894151,0.5217510672076676,0.5228839007035473,0.5047710534115363,False
