iteration_record_id,configuration_id,structure_hash,run_id,pathway_id,path_iteration,image_index,pw_block_index,frozen_endpoint_force_reused,energy_eV,path_energy_eV,energy_residual_eV,max_atomic_force_eV_A,neb_residual_eV_A,neb_iteration_complete,neb_source_file,reaction_coordinate_A,reaction_coordinate_normalized,scf_iterations,gradient_force_rms_eV_A,gradient_force_max_eV_A
556a5037a667e8e824d6fac1164b69b12897c86cd6364fa29d9c0f2bf657aaea,664fcddc60d9483e17031ccb72dafdae826e188ab752ec479633a4687d0502e0,44c91d7b780b981d70e477a9477f082c2ef0c1806ae5c1275ea7da4781448ad3,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,1,1,0,True,-133597.1500230125,-133597.1500230125,0.0,0.3127942658103932,0.312794,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.0,0.0,31,6.833693910353517e-08,1.2654970801828647e-07
e7eac3373d99ea56d50a7ffcac343d76cb402dd6f655e4aecb87d456c2e184ba,fa9fcb4cf7a9e50f0c7dfea304e4c51269c819585bfe323c36e1718dd1e74c86,297508336c0c60357764770d8eac28c9c31ab143b87ec70df7ed0faae576b9b9,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,1,2,0,False,-133596.8217287941,-133596.82172875328,4.0832674130797386e-08,1.1916550269440904,2.371225,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.10142155822319204,0.25398721285987436,34,7.771243506800399e-08,1.284009024937749e-07
34d01255fa4117e72e1e324e851d88f9e90ae47042d9d29fcdbb4f1269194060,05dab356c0a67a1b4b7744a24e4ca56105bcf7d1f5389e887bc98dcc77126554,eeb86677bb1b14ac11bfdd15bc24ccb742a70f4bbaeb5c4fe0842518bbf8f903,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,1,3,0,False,-133596.11636136242,-133596.116361376,1.359148882329464e-08,0.5861602456368595,0.574924,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.20022379273487825,0.5014149255432762,33,7.191251784750404e-08,1.2485277983177723e-07
33a22adca8d1721d1707efd3cc52a03c739844b409c321d46c2db1426242bfeb,aca82aad4272263a025ed9b9cd09144abeacacccf587a9a8511ee34f0478f29b,d3b8fe4cc75723e16f92abc09e5488d02c56b2298d4cf09ac2e0ffad98d7db0d,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,1,4,0,False,-133596.3666918299,-133596.36669180813,2.176966518163681e-08,0.9285656391175496,0.368255,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.2988061259155703,0.7482919453844277,31,7.354160743838225e-08,1.2834948042578231e-07
605bc6434535d176dc780aa1539c871cd3528344fc1bde4f3b03d848c70b327d,7b72f1530e365f451d28323a15a3d148e6816768ccd97ce164add75d775e6dfa,3964c5f125dd97a12324dae72ba37fbf556e38c0bb69add29adeb1a2beba7b1b,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,1,5,0,True,-133596.32962311897,-133596.32962306184,5.713081918656826e-08,0.43780568272107695,0.437806,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.39931757619288766,1.0,30,6.099201161710495e-08,1.1945346274806756e-07
eeda74ca66591319c4cdd231d6089434414024fb00b8831abeb713211d1fcb4b,62e8a6d1d8c1f34d54ace15a0581d5e318fe5d29798e6bb59965bc7a4932a7f6,44c91d7b780b981d70e477a9477f082c2ef0c1806ae5c1275ea7da4781448ad3,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,2,1,0,True,-133597.1500230125,-133597.1500230125,0.0,0.3127942658103932,0.312794,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.0,0.0,31,6.833693910353517e-08,1.2654970801828647e-07
88f4bccd2f489ae57f77545381c3ec3f043acafcbf06fc06787308535cc67af9,5feeec750ec56934fe7fae04f560b39c861d97d9e115da2b43dab3583efd1bf5,008085a3cafe12ec48b438f785c96d1108f5aab55acb7b3630ee34fcdbe73556,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,2,2,1,False,-133596.82164253402,-133596.82164257483,4.080357030034065e-08,1.1931809370933706,2.35679,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.13309385157178238,0.32423647325937327,12,7.35846013448383e-08,1.2834948041884342e-07
ba91ec9b5e6150bc8f25d5b37f51f810d0b640561480d7f8853d5acb794774a5,e2bd305471c6bdc505debf7bfa1264d714705f358a96e23a88be5099f131bb43,a668809625cfe2ac53a6089bb246b3b5747bea240294016939b371e8defec4cc,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,2,3,1,False,-133596.11765159026,-133596.11765159844,8.17817635834217e-09,0.5846863065683012,0.572851,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.20888724406645978,0.508880481894013,12,7.399265716108983e-08,1.2726961701181594e-07
c345777aae8a214f2d9b64190ccc9809f8adbf68c887aa8302ac275c3f2ff3a9,b35161b788be64684bba1dc4156813d9aefd1ac81f5b2b011392eda045e26560,c17f8220c21d3990e7deaca692bc811dbbd35a3cca7b4d3a0ff9eec47428d139,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,2,4,1,False,-133596.36806559673,-133596.36806553687,5.986657924950123e-08,0.9277196929651703,0.368444,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.30339493419131897,0.7391153107767525,12,6.941429929920792e-08,1.2850374662325484e-07
53b6c191db0f4a028e3371accc37d2ec728302e9f949ff0472c3d1e16a2cfec9,06d99169335329fffacb0a0647215dbd4c1786945bfe13ffcd43f4f9fea06716,3964c5f125dd97a12324dae72ba37fbf556e38c0bb69add29adeb1a2beba7b1b,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,2,5,0,True,-133596.32962311897,-133596.32962306184,5.713081918656826e-08,0.43780568272107695,0.437806,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.41048389847651046,1.0,30,6.099201161710495e-08,1.1945346274806756e-07
7f153027b46c01bf7d682a9e06d2a07e5d09005752f7445c2130640e653e1c9b,bda61d350ea1c698151d9270b9e71ce2dbee0703e3fc2c4c77650a9d574c8a1c,44c91d7b780b981d70e477a9477f082c2ef0c1806ae5c1275ea7da4781448ad3,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,3,1,0,True,-133597.1500230125,-133597.1500230125,0.0,0.3127942658103932,0.312794,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.0,0.0,31,6.833693910353517e-08,1.2654970801828647e-07
18e73300d78fb8fab787db51f58b8218cdd783beeac04fd13962338fd385af83,af18a2f69fc2c6a40c4f24d7271316c80d7143514e06b05a4f75730ca9d2c477,8fca4d58083ce3948ba0fb31ddc496318c6d1c4d4cd85cbfecc6c5bdc9ff98c0,mb_qe16_direct_r3_s42_30812496,Sb2Te3Cr_1-6_qe_r3,3,2,2,False,-133596.73962864038,-133596.73962863768,2.7066562324762344e-09,1.3607359120929985,0.536152,True,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out,0.1454623292907197,0.3494979193565912,30,7.413253087618509e-08,1.280923700840847e-07
