r_A,g_r_FT - 600K,g_r_FT - Multi-T,g_r_Foundation,g_r_Scratch
0.025,0.0,0.0,0.0,0.0
0.07500000000000001,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.17500000000000002,0.0,0.0,0.0,0.0
0.225,0.0,0.0,0.0,0.0
0.275,0.0,0.0,0.0,0.0
0.32500000000000007,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.42500000000000004,0.0,0.0,0.0,0.0
0.475,0.0,0.0,0.0,0.0
0.525,0.0,0.0,0.0,0.0
0.5750000000000001,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.675,0.0,0.0,0.0,0.0
0.7250000000000001,0.0,0.0,0.0,0.0
0.775,0.0,0.0,0.0,0.0
0.8250000000000001,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
0.925,0.0,0.0,0.0,0.0
0.9750000000000001,0.0,0.0,0.0,0.0
1.025,0.0,0.0,0.0,0.0
1.0750000000000002,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0
1.1750000000000003,0.0,0.0,0.0,0.0
1.225,0.0,0.0,0.0,0.0
1.275,0.0,0.0,0.0,0.0
1.3250000000000002,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0
1.4250000000000003,0.0,0.0,0.0,0.0
1.475,0.0,0.0,0.0,0.0
1.525,0.0,0.0,0.0,0.0
1.5750000000000002,0.0,0.0,0.0,0.0
1.625,0.0,4.310131426133871e-05,0.0,0.0
1.6750000000000003,0.00016226603052274982,0.0007707636449830617,0.0,0.0
1.725,0.0006884803506773385,0.005201851538451002,0.0,0.0
1.775,0.0012643536691917202,0.008561480559955363,0.0,0.0
1.8250000000000002,0.001879464796674532,0.010012421553193415,0.0,0.0
1.875,0.001618693802259165,0.007640234746663258,0.0,0.0
1.9250000000000003,0.0007678489321730309,0.004361381934742815,0.0,0.0
1.975,0.00017507103293141102,0.0021008523951769323,0.0,0.0
2.0250000000000004,0.00016653228418304157,0.0008604168016123814,0.0,0.0
2.075,0.0,0.0005022438673724728,0.0,0.0
2.125,2.520457477566174e-05,0.00027725032253227914,0.0,0.0
2.175,0.0,0.000264649700131552,0.0,0.0
2.225,9.195962770062167e-05,0.000275878883101865,0.0,9.195962770062167e-05
2.2750000000000004,0.0007476758596354671,0.0007036949267157338,2.1990466459866682e-05,0.0005277711950368003
2.325,0.005600579492728119,0.005326866961128625,2.1054810123038042e-05,0.0026318512653797552
2.375,0.03123496129234721,0.028248673003414788,0.00018159861216480937,0.01364007353593457
2.4250000000000003,0.1033123706665623,0.09040316286690006,0.0020128300017464365,0.04923691850425899
2.475,0.2295564959471072,0.21341043403063323,0.009884585661178554,0.13069205928708638
2.5250000000000004,0.40058744278043923,0.37702347555806043,0.03532809934324818,0.26064961016208527
2.575,0.5433396203110618,0.5231879581437152,0.09502521444500026,0.4242319680289345
2.625,0.6611042799532967,0.6553067133758175,0.21908525095066902,0.5941101772802031
2.6750000000000003,0.8801355947376385,0.8786086584930407,0.46660626741164474,0.8560227265416999
2.725,1.435335618063774,1.4340941108444247,0.9468868271228223,1.420805385422503
2.7750000000000004,2.4662171651421745,2.4764152908138217,1.7202464420995838,2.4725281791447737
2.825,3.877259077326173,3.8963977958472853,2.7791644061722454,3.9099888530385067
2.875,5.2610639085219235,5.239032537300249,3.8665744974390015,5.317436679635384
2.9250000000000003,6.196758429176253,6.192541417873523,4.7468248962749096,6.319357723075171
