time_ps,vacf_FT - 600K,vacf_FT - Multi-T,vacf_Foundation,vacf_Scratch
0.0,1.0,1.0,1.0,1.0
0.2,-0.21990799725014673,-0.2183167689137224,-0.3252782659982103,-0.2411810248709406
0.4,-0.13049195037183936,-0.1290093827539779,-0.04049200193119527,-0.13858491005372287
0.6,0.0003932407904256967,-0.0007521991964174364,-0.03688168958854845,0.023329315934264905
0.8,-0.028469560769543534,-0.02876654076535373,0.03802596273803802,-0.035993077002657824
1.0,0.0031326443154383447,0.0017407386758624582,-0.022437479275365362,0.011987883608093363
1.2,0.017403652456805675,0.016703848875180376,0.006491694617914145,0.018645082898739215
1.4,-0.004644937585063971,-0.004618454440954336,-0.0032123741053678716,-0.006358726550255813
1.6,-0.007453718946541388,-0.008152226458681201,-0.007024502535921161,-0.013401275678128079
1.8,0.0014858341647930459,0.001351678379674282,0.005540930690412779,0.004538864680044691
2.0,0.00036473865856914207,0.0009458913704767949,0.004595756769425472,0.001572760514161741
2.2,-0.002047861356041321,-0.0012826198330257255,-0.005504794313598289,0.0013255892999823127
2.4,-0.000919092654133311,-0.00017950200334653074,-0.0017371205143688992,-0.0005628134464225843
2.6,-0.000995485261550049,-0.0010490474283530147,0.0024404055850775212,-0.0017098131350471474
2.8,0.00047675670237039085,0.0003706579878772465,-0.0002735769327310165,0.0005495598920008413
3.0,-0.00010840560187579783,-0.0009796146170664643,-0.0005153807268317831,0.0007102604655971368
3.2,-2.723669015422688e-05,0.00018695737078895216,0.0012781921100743006,0.00037470601584365396
3.4,0.0006010782781590227,-0.001505979325820248,-0.0006883293143154456,-0.0012460330197668224
3.6,-0.001043803832629995,0.0004947044058006768,-0.0012328243070579977,-0.001042749716403344
3.8,-0.0007143918856747961,-0.001489798622510478,-0.0007166585587114386,-0.0002470415014125123
4.0,-0.0001972058133675831,0.0007911393226373999,-0.0004466472762169324,-0.0004458704358950855
4.2,-0.0002319193371347948,-0.0012488238065669571,0.0003637252345007351,0.0007771981389649811
4.4,-6.281072778375515e-05,0.0008229250054578617,0.0012380476902591902,-0.0012166421256770976
4.6,2.414211274609924e-05,-0.0005978572701137656,-0.0008317592489369233,-0.00044169831087408133
4.8,-0.0010451447580716751,-0.0005283175248338709,-0.0008680576394178894,0.00013182574749368652
5.0,0.00014277531141898675,-0.0007227497018992645,-0.0009081053702635561,0.00022584422760073576
5.2,-0.00015858222145103329,-0.0009207143719920201,0.00016389351612047256,-0.000375079738358874
5.4,-0.0012128278740189992,0.0008517390643084959,-0.0005798775588522707,-0.00046425075454926116
5.6,6.903260379431415e-05,-3.9810036393443855e-05,0.0007557640716246953,-0.0005917262351485684
5.8,-0.000550263693252646,-5.9784973739637833e-05,-0.0013643640275639477,-0.0007602258033074012
6.0,-0.00034035278998239215,-0.0004863558729696279,-0.0003089202118068737,0.00045355937315548093
6.2,0.00023423254019509194,-0.0004902328163212479,-0.0011741299076961683,0.0003850329828407135
6.4,0.000135763723738033,0.00027706209970455777,-0.00014764482601572029,-0.0010654251622180318
