time_fs,temperature_K,pot_energy_eV,kin_energy_eV,total_energy_eV,volume_A3,pressure_GPa,time_ps,total_energy_per_atom,label
0.0,308.89289409010917,-4491500.800620334,81.85133729620078,-4491418.949283038,150190.66347414991,-0.5041039621358213,0.0,-2190.9360728209945,FT - 600K
200.0,264.0776480500814,-4491454.0664364025,69.9760630836303,-4491384.090373319,150190.66347414991,-0.15886552471188456,0.2,-2190.9190684747896,FT - 600K
400.0,333.3009520477151,-4491440.898364481,88.31905546925276,-4491352.579309011,150190.66347414991,-0.1052314684723257,0.4,-2190.903697223908,FT - 600K
600.0,390.072105501899,-4491430.809751679,103.362440794644,-4491327.4473108845,150190.66347414991,0.04114222298400128,0.6,-2190.8914377126266,FT - 600K
800.0,434.76060481395115,-4491421.355251705,115.20412929067258,-4491306.1511224145,150190.66347414991,0.14795403499782503,0.8,-2190.881049328007,FT - 600K
1000.0,440.60826188279054,-4491408.605233137,116.75365846499686,-4491291.851574671,150190.66347414991,0.07393443221076783,1.0,-2190.874073938864,FT - 600K
1200.0,474.8779572264418,-4491402.321679032,125.83454198895701,-4491276.487137044,150190.66347414991,-0.007047099745655717,1.2,-2190.866579091241,FT - 600K
1400.0,501.424473754271,-4491395.319837149,132.86891513230506,-4491262.450922017,150190.66347414991,-0.057402193374284434,1.4,-2190.8597321570815,FT - 600K
1600.0,518.1942080733423,-4491387.768412327,137.31260809637035,-4491250.455804231,150190.66347414991,-0.09147339601225007,1.6,-2190.8538808801127,FT - 600K
1800.0,529.9891763532398,-4491380.279013436,140.43807308940526,-4491239.840940347,150190.66347414991,-0.0806028260247891,1.8,-2190.84870289773,FT - 600K
2000.0,537.8049856024109,-4491376.796217739,142.50912895160337,-4491234.287088787,150190.66347414991,-0.06835698418969578,2.0,-2190.8459937018474,FT - 600K
2200.0,554.9661525284652,-4491376.106665612,147.05654486610192,-4491229.050120746,150190.66347414991,-0.00981948801850271,2.2,-2190.843439083291,FT - 600K
