time_ps,kappa_FT - 600K,kappa_FT - Multi-T,kappa_Foundation,kappa_Scratch
0.0,0.0,0.0,0.0,0.0
0.2,0.06778059500457705,0.06725603127902163,0.08435866276842123,0.06450695935216195
0.4,0.0653456269749994,0.06357035841488293,0.08338148675776491,0.060453568906508645
0.6,0.06499850792981632,0.059461574926479285,0.07865591531472416,0.05912362187509837
0.8,0.06556631886705443,0.05582386267538592,0.074642437633842,0.05921616899003131
1.0,0.0649055263211572,0.0565145505010129,0.07272008818044999,0.05897162898736265
1.2,0.06487582934661901,0.056557158387947164,0.06995963498331394,0.05867874627442904
1.4,0.06469473064510387,0.05433584583927688,0.06608546016527224,0.059373572825292695
1.6,0.06536785071062923,0.05338159032425263,0.06471090091642326,0.06101400260746559
1.8,0.0678373998256924,0.050909378054759556,0.06344161565982971,0.062408946030549715
2.0,0.06706602985982728,0.051563324315865196,0.06209868330885653,0.060164197289518224
2.2,0.06497481727664776,0.05434933194766157,0.059738723992283436,0.05625200545500124
2.4,0.06482597165954869,0.05447234157707524,0.05822622292700808,0.051954767070302464
2.6,0.06302926763223682,0.05425947588043658,0.059958297900559024,0.04979224319451833
2.8,0.0633109387854391,0.054062071433530416,0.0633411795728264,0.04765864019022276
3.0,0.06477979878900259,0.05387981933453222,0.06389328199009284,0.04589875616673788
3.2,0.06741676230463084,0.05424317642444501,0.059661321961567315,0.04437272065860509
3.4,0.0713409605598034,0.05526863475881128,0.0547066696894216,0.04600640619264598
3.6,0.07370210294922634,0.05644943878267485,0.054615159907400145,0.046125001386121064
3.8,0.07485723256240995,0.05658161519294858,0.0589772350588493,0.04334525899799295
4.0,0.07433935817075939,0.05901727281126459,0.0606945141224212,0.04553738298792457
4.2,0.07401311871822647,0.06258211450405497,0.06034601475851021,0.04608525529105045
4.4,0.07195969331118965,0.06392638456958015,0.060565875223487796,0.04584710267795446
4.6,0.07034166572418975,0.06372500750428095,0.05779781836165602,0.047252117345913974
4.8,0.07188555283532991,0.062141660958422655,0.05306201799419323,0.048922817422587146
5.0,0.0741472566475383,0.06215062877396885,0.05150368431607301,0.05143328276102394
5.2,0.07270349174426037,0.0628293032015992,0.051059239127363897,0.053743494219834036
5.4,0.06895249565957066,0.06094020978524393,0.04930022120350016,0.05605020225312034
5.6,0.06690077454444505,0.05934951616940345,0.04731220870963666,0.056690712226626416
5.8,0.06471918748451885,0.05800476407761244,0.04776844202468963,0.05525110963109699
6.0,0.06247080344777944,0.05506739307898024,0.050332102284114735,0.05660138699876597
6.2,0.05925117272468249,0.05456702686246418,0.049541417531059374,0.06002592453941838
6.4,0.05899998640820995,0.05506119920036384,0.04602410868472421,0.06219837732835172
6.6,0.061096952129434626,0.054740616998138446,0.04463636413766422,0.06368913377553563
6.8,0.06341381219347267,0.055308831331222004,0.044490564605207644,0.06527233914108825
7.0,0.06604603637154412,0.0559596127981232,0.044133289670679136,0.06551962006501463
7.2,0.06729412234632275,0.05814926516397195,0.04455177288133608,0.06469139242186582
7.4,0.07076135971321047,0.061501556024277315,0.04466785866336112,0.06321205582593499
7.6,0.07328622534653982,0.06360852311519233,0.04351797855779522,0.06191389508497966
7.8,0.07097097293693017,0.06405995861176923,0.04475541702112973,0.06322728691042084
8.0,0.06967074361885417,0.06394052278218847,0.04878659269434604,0.06492452959752253
8.2,0.0692241360816515,0.06466160355499319,0.04877943056838313,0.06614027858892443
8.4,0.0693209314121653,0.06499270418197346,0.04579758888889883,0.06780395211306495
8.6,0.072130173868147,0.06414146340882003,0.042913796739907764,0.06663683268299013
8.8,0.07517953603414528,0.06444785129728842,0.03943770322503493,0.06286378797982115
