      0.0000000000      0.0000000000      0.0161181970
      0.1116110472      0.1747599428      0.3837714872
      0.2234911761      0.7164651553      0.4857557465
      0.3345841596      1.4091930197      0.4301458119
      0.4442720132      1.8998690085      0.3890933526
      0.5507839754      2.0638575975      0.4557083745
      0.6580836803      1.8106552388      0.5065768134
      0.7693360250      1.1773483907      0.5269839458
      0.8831735333      0.7033108834      0.3869430919
      1.0000000000      0.5203116128      0.0994457719
