      0.0000000000      0.0000000000      0.0641521193
      0.0993415325      0.0387174416      0.2451244419
      0.2155276397      0.1692913224      0.1389542027
      0.3365713426      0.3523495786      0.1984222680
      0.4546022909      0.8621167384      0.2149009068
      0.5588092237      1.3873792440      0.3191041179
      0.6597393525      1.4148676240      0.2886573414
      0.7696872859      0.8754287381      0.3149425304
      0.8819703050      0.4213493682      0.2065658087
      1.0000000000      0.3490373797      0.0423688112
