iteration,image_index,energy_eV,relative_energy_eV,energy_valid,source_sha256
0,1,0.0,0.0,False,2939fbd59e172e49551708dc8759672c2f6800e0c95747e1d76626b8cda626d5
0,2,0.0,0.0,False,2939fbd59e172e49551708dc8759672c2f6800e0c95747e1d76626b8cda626d5
0,3,0.0,0.0,False,2939fbd59e172e49551708dc8759672c2f6800e0c95747e1d76626b8cda626d5
0,4,0.0,0.0,False,2939fbd59e172e49551708dc8759672c2f6800e0c95747e1d76626b8cda626d5
0,5,0.0,0.0,False,2939fbd59e172e49551708dc8759672c2f6800e0c95747e1d76626b8cda626d5
1,1,-133597.1500230125,0.0,True,7f2274c0afa2b9bf19d612438efd594f38262b0cc36574029b15cfd23f42e575
1,2,-133596.82172875328,0.3282942592340987,True,7f2274c0afa2b9bf19d612438efd594f38262b0cc36574029b15cfd23f42e575
1,3,-133596.116361376,1.0336616364947986,True,7f2274c0afa2b9bf19d612438efd594f38262b0cc36574029b15cfd23f42e575
1,4,-133596.36669180813,0.7833312043803744,True,7f2274c0afa2b9bf19d612438efd594f38262b0cc36574029b15cfd23f42e575
1,5,-133596.32962306184,0.8203999506658874,True,7f2274c0afa2b9bf19d612438efd594f38262b0cc36574029b15cfd23f42e575
2,1,-133597.1500230125,0.0,True,c9bb01fa8cb4e4aeb141bdc6e68571cc148579241b0c15ab200410f3cb7cbaea
2,2,-133596.82164257483,0.3283804376842454,True,c9bb01fa8cb4e4aeb141bdc6e68571cc148579241b0c15ab200410f3cb7cbaea
2,3,-133596.11765159844,1.0323714140686207,True,c9bb01fa8cb4e4aeb141bdc6e68571cc148579241b0c15ab200410f3cb7cbaea
2,4,-133596.36806553687,0.7819574756431393,True,c9bb01fa8cb4e4aeb141bdc6e68571cc148579241b0c15ab200410f3cb7cbaea
2,5,-133596.32962306184,0.8203999506658874,True,c9bb01fa8cb4e4aeb141bdc6e68571cc148579241b0c15ab200410f3cb7cbaea
3,1,-133597.1500230125,0.0,True,624fbacd76c07e175e9fffbbb6fd71e793442fc248a8f7ed83e74d32c8ddfceb
3,2,-133596.73962863768,0.41039437483414076,True,624fbacd76c07e175e9fffbbb6fd71e793442fc248a8f7ed83e74d32c8ddfceb
3,3,-133596.3125561321,0.8374668804171961,True,624fbacd76c07e175e9fffbbb6fd71e793442fc248a8f7ed83e74d32c8ddfceb
3,4,-133596.5769848188,0.5730381937173661,True,624fbacd76c07e175e9fffbbb6fd71e793442fc248a8f7ed83e74d32c8ddfceb
3,5,-133596.32962306184,0.8203999506658874,True,624fbacd76c07e175e9fffbbb6fd71e793442fc248a8f7ed83e74d32c8ddfceb
4,1,-133597.1500230125,0.0,True,79c240a0acbb5bb9bdc6ce5372f9b8c87fe3085cac161d6f2ffe2f568c33ca53
4,2,-133596.67621928582,0.4738037266943138,True,79c240a0acbb5bb9bdc6ce5372f9b8c87fe3085cac161d6f2ffe2f568c33ca53
4,3,-133596.38205880174,0.7679642107686959,True,79c240a0acbb5bb9bdc6ce5372f9b8c87fe3085cac161d6f2ffe2f568c33ca53
4,4,-133596.65365212128,0.49637089122552425,True,79c240a0acbb5bb9bdc6ce5372f9b8c87fe3085cac161d6f2ffe2f568c33ca53
4,5,-133596.32962306184,0.8203999506658874,True,79c240a0acbb5bb9bdc6ce5372f9b8c87fe3085cac161d6f2ffe2f568c33ca53
5,1,-133597.1500230125,0.0,True,3e20725dd32ea52b17947dbf6756276675ebb05eafcef9bf5b02ef074b0ebfa8
5,2,-133596.68124680713,0.46877620537998155,True,3e20725dd32ea52b17947dbf6756276675ebb05eafcef9bf5b02ef074b0ebfa8
5,3,-133596.38027924238,0.769743770128116,True,3e20725dd32ea52b17947dbf6756276675ebb05eafcef9bf5b02ef074b0ebfa8
5,4,-133596.65208327875,0.49793973375926726,True,3e20725dd32ea52b17947dbf6756276675ebb05eafcef9bf5b02ef074b0ebfa8
5,5,-133596.32962306184,0.8203999506658874,True,3e20725dd32ea52b17947dbf6756276675ebb05eafcef9bf5b02ef074b0ebfa8
6,1,-133597.1500230125,0.0,True,15720028967fc258e289d4f3ea1cc0ed225cd9529bf0376f9d1685226022edfd
6,2,-133596.6812523147,0.46877069780020975,True,15720028967fc258e289d4f3ea1cc0ed225cd9529bf0376f9d1685226022edfd
6,3,-133596.38218024347,0.7678427690407261,True,15720028967fc258e289d4f3ea1cc0ed225cd9529bf0376f9d1685226022edfd
6,4,-133596.65443719426,0.49558581825112924,True,15720028967fc258e289d4f3ea1cc0ed225cd9529bf0376f9d1685226022edfd
6,5,-133596.32962306184,0.8203999506658874,True,15720028967fc258e289d4f3ea1cc0ed225cd9529bf0376f9d1685226022edfd
7,1,-133597.1500230125,0.0,True,7e902690d0d22cdb1737310eab8610b0dcb0b4e539eafae92b3ceb33946f59cd
