      0.0000000000      0.0000000000      0.1412232291
      0.1052250607      0.0470666944      0.3736483737
      0.2185676354      0.3157510123      0.6357199145
      0.3353305659      0.8611517206      0.5727224550
      0.4472872364      1.4538605924      0.6044266445
      0.5547004397      1.5612623986      0.5898003591
      0.6653177979      1.2094909684      0.5817095836
      0.7762242173      0.4304267049      0.5373879759
      0.8895703004     -0.3191680940      0.4695495528
      1.0000000000     -0.5498901390      0.0284561958
