optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
0,1,-223.2049446415382,-223.2049446415382,0.0,1.5297383341549227,1.5297383341549227,0.0
0,2,-223.0390043780334,-223.0390043780334,0.0,1.5787401658410436,1.5787401658410436,0.0
0,3,-224.00997351718104,-224.00997351718104,0.0,1.499901639917289,1.499901639917289,0.0
0,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
1,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
1,1,-223.64226895552142,-223.64226895552142,0.0,1.3167931508766944,1.3167931508766944,0.0
1,2,-223.46692554692476,-223.46692554692476,0.0,1.420265635264843,1.420265635264843,0.0
1,3,-224.38181621925406,-224.38181621925406,0.0,1.3557036067496517,1.3557036067496517,0.0
1,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
2,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
2,1,-224.28842276472574,-224.28842276472574,0.0,1.072162636002019,1.072162636002019,0.0
2,2,-224.1052258641218,-224.1052258641218,0.0,1.152966167859882,1.152966167859882,0.0
2,3,-224.94170825469286,-224.94170825469286,0.0,1.1132912619769155,1.1132912619769155,0.0
2,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
3,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
3,1,-224.80119945922343,-224.80119945922343,0.0,0.8460544776072502,0.8460544776072502,0.0
3,2,-224.615286362969,-224.615286362969,0.0,0.9033991150408779,0.9033991150408779,0.0
3,3,-225.39581250907804,-225.39581250907804,0.0,0.8859548656852344,0.8859548656852344,0.0
3,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
