path_id,start_image_qe,end_image_qe,saddle_image_qe,delta_E_eV,barrier_forward_eV,barrier_reverse_eV,endpoint_dominated,segment_status
1-2_historical,1,2,1,-0.2096140000212472,0.0,0.2096140000212472,True,unresolved_no_interior_saddle
1-2_historical,2,5,4,1.984454600024037,2.9997846000187565,1.0153299999947194,False,candidate_segment_barrier
1-3_historical,1,5,3,0.053236099978676066,4.003362199990079,3.9501261000114027,False,candidate_segment_barrier
1-4_historical,1,4,3,-0.14649010001448914,0.3360499999835156,0.48254009999800473,False,candidate_segment_barrier
1-4_historical,4,5,5,0.46571070002391934,0.46571070002391934,0.0,True,unresolved_no_interior_saddle
1-5_historical,1,3,2,-0.8469281000143383,1.0995831999753136,1.9465112999896519,False,candidate_segment_barrier
1-5_historical,3,5,4,1.1930432000081055,1.5603345000126865,0.367291300004581,False,candidate_segment_barrier
1-6_historical,1,4,3,0.7630714999977499,1.026034799986519,0.262963299988769,False,candidate_segment_barrier
1-6_historical,4,5,5,0.05733670000336133,0.05733670000336133,0.0,True,unresolved_no_interior_saddle
1-7_historical,1,4,3,0.26307730001281016,0.5825860000040848,0.3195086999912746,False,candidate_segment_barrier
1-7_historical,4,5,5,0.29485909998766147,0.29485909998766147,0.0,True,unresolved_no_interior_saddle
1-8_historical,1,3,2,1.0168034999805968,1.7563739999895915,0.7395705000089947,False,candidate_segment_barrier
1-8_historical,3,5,4,-0.25040719998651184,0.23198630000115372,0.48239349998766556,False,candidate_segment_barrier
81_neb_1,1,2,1,-0.1500893000047654,0.0,0.1500893000047654,True,unresolved_no_interior_saddle
81_neb_1,2,10,5,0.15454889999818988,1.1848178000072949,1.030268900009105,False,candidate_segment_barrier
81_neb_2,1,10,6,-0.5498901000246406,1.5612623999768402,2.111152500001481,False,candidate_segment_barrier
81_neb_3,1,10,6,0.022855799994431436,1.6910526000137907,1.6681968000193592,False,candidate_segment_barrier
81_neb_4,1,10,6,0.5203115999756847,2.0638575999764726,1.543546000000788,False,candidate_segment_barrier
81_neb_5,1,10,7,0.3490373999811709,1.4148676999902818,1.065830300009111,False,candidate_segment_barrier
1-6_qe_r3,1,2,1,-1.2317366999923252,0.0,1.2317366999923252,True,unresolved_no_interior_saddle
1-6_qe_r3,2,5,5,2.0521365999884438,2.0521365999884438,0.0,True,unresolved_no_interior_saddle
1-7_qe_r3,1,2,1,-1.1147921000083443,0.0,1.1147921000083443,True,unresolved_no_interior_saddle
1-7_qe_r3,2,5,5,1.6727255000150762,1.6727255000150762,0.0,True,unresolved_no_interior_saddle
