time_fs,temperature_K,pot_energy_eV,pot_energy_per_atom_eV,kin_energy_eV,kin_energy_per_atom_eV,total_energy_eV,volume_A3,com_vx,com_vy,com_vz
0.0,605.1339106639182,-4491516.9920457555,-2190.983898558905,160.3501432981245,0.07821958209664609,-4491356.641902457,150190.66347414991,-9.456254089082935e-19,2.5609957154988523e-18,1.0193105057063424e-18
5.0,600.8750133310599,-4491515.798266798,-2190.9833162277064,159.22160829854636,0.0776690772188031,-4491356.576658499,150190.66347414991,-9.675177774891137e-16,-1.5598542879761957e-16,7.752198505274725e-17
10.0,589.712354311319,-4491512.56788529,-2190.9817404318487,156.2636944519405,0.07622619241558073,-4491356.304190838,150190.66347414991,-1.611336924744399e-15,4.590362229635115e-16,-5.470039476909156e-16
15.0,571.4198863140405,-4491507.491667532,-2190.9792642280645,151.41650308991314,0.07386170882434787,-4491356.075164443,150190.66347414991,-1.803486604308911e-15,3.4011472680663554e-16,2.768515755374024e-16
20.0,545.0116203699412,-4491500.800498562,-2190.976000243201,144.4187639882565,0.07044817755524707,-4491356.381734573,150190.66347414991,-2.3176998067211614e-15,-1.378325240540794e-15,8.782684583995438e-16
25.000000000000004,513.6434929834779,-4491492.781630594,-2190.9720886002897,136.1067463789728,0.06639353481901111,-4491356.674884215,150190.66347414991,-4.600628142585444e-15,-2.395714122256979e-15,-6.874819531257958e-17
30.0,479.57103497732624,-4491483.724205545,-2190.9676703441683,127.07812737824369,0.06198933042841156,-4491356.646078167,150190.66347414991,-4.037898567152878e-15,-1.1179505079208804e-15,-7.520897477611516e-16
35.0,444.86526868522736,-4491473.991940648,-2190.9629228978774,117.88169250632652,0.057503264637232446,-4491356.110248142,150190.66347414991,-2.0781372761812383e-15,-5.106122819080125e-16,-8.853825790546887e-16
40.0,409.33674035191757,-4491463.994166883,-2190.9580459350645,108.46723975624468,0.05291084866158277,-4491355.526927127,150190.66347414991,-3.3318023550502416e-15,-3.6167189398728973e-16,-1.5828190378764875e-15
45.0,375.9329578730189,-4491454.142879218,-2190.9532404288866,99.61580834114821,0.04859307723958449,-4491354.527070877,150190.66347414991,-3.967097276970586e-15,-8.109707191292924e-16,-6.579184396461786e-16
50.00000000000001,344.1242434924791,-4491444.862532539,-2190.948713430507,91.18704270900464,0.04448148424829495,-4491353.67548983,150190.66347414991,-3.969001685841402e-15,-2.73883381941741e-15,-1.5922331861959716e-15
54.99999999999999,314.7124556965103,-4491436.541202538,-2190.9446542451406,83.39342165319023,0.04067971787960499,-4491353.147780885,150190.66347414991,-3.1985864983667527e-15,-1.837163763757986e-15,-2.0595019643195985e-15
60.0,290.65645119473487,-4491429.474012329,-2190.9412068352826,77.0189916285897,0.03757023981882424,-4491352.455020701,150190.66347414991,-1.6969127347373496e-15,-1.950563811924883e-15,-2.53300765956506e-15
65.0,273.31015855915604,-4491423.844476787,-2190.9384607203842,72.42252056525996,0.03532805881232193,-4491351.4219562225,150190.66347414991,-6.814394462370307e-16,-1.7771919897961738e-15,-2.9785691590533953e-15
