time_fs,stress_xx,stress_yy,stress_zz,stress_yz,stress_xz,stress_xy,pressure_eV_per_A3
0.0,0.0016058149268712906,0.0016236582064314516,0.004424732239380325,0.00013796761044383805,0.0002389056608621035,-1.5056569097854118e-05,-0.0025514017908943557
5.0,0.0016184575961381645,0.0016190931306981687,0.004425836970333038,0.00010763968094820519,0.00025070537684954413,-2.1596100842689554e-05,-0.0025544625657231237
10.0,0.0016080845301705198,0.001600634364889965,0.004371539945306253,7.969859373550576e-05,0.0002601765854985521,-3.0276475849882785e-05,-0.0025267529467889126
15.0,0.00156913088794095,0.0015615742866377205,0.004260719333869376,5.632342186095474e-05,0.0002682010031738977,-4.04261458938624e-05,-0.0024638081694826823
20.0,0.0014984064440377843,0.0014940671687364213,0.0040936210519258295,3.632313853498963e-05,0.00027480929658058295,-5.078760697864726e-05,-0.0023620315549000115
25.000000000000004,0.001396127929694075,0.00139714988024124,0.0038779573991697684,2.0945943534849244e-05,0.0002807149270538943,-6.114331458256377e-05,-0.0022237450697016946
30.0,0.0012654430714334791,0.0012719807077429006,0.0036225982297375644,7.816940409251723e-06,0.0002841209144460926,-7.133692399217736e-05,-0.002053340669637981
35.0,0.0011120191777799974,0.0011216263364776113,0.0033363510121240934,-6.212032438558025e-06,0.00028429189432703793,-8.14101821401581e-05,-0.0018566655087939009
40.0,0.0009407994405928028,0.0009504364115924936,0.0030279590935764693,-1.874579871092333e-05,0.00028010162091181095,-9.08986574568117e-05,-0.0016397316485872553
45.0,0.0007597998158842054,0.0007654109217115022,0.002707592115575974,-3.0041451086185175e-05,0.0002731347858462834,-0.0001009891160315532,-0.0014109342843905606
50.00000000000001,0.000578419326293149,0.0005752852229277799,0.002386301115477889,-4.0483356319800155e-05,0.0002634697237690867,-0.0001112416917438509,-0.0011800018882329392
54.99999999999999,0.00040705414526401036,0.00038999802108504074,0.00207734210889362,-4.9723842650788385e-05,0.0002507746939152482,-0.00012070159786249597,-0.0009581314250808904
60.0,0.00025205617893591493,0.00021585311082038448,0.0017879843975588615,-5.7873368412536826e-05,0.00023389307996430012,-0.0001273220813180752,-0.000751964562438387
65.0,0.00012020075481925462,5.723489418658962e-05,0.0015245282290767895,-6.761818550509703e-05,0.00021479407747498902,-0.00013201401214498428,-0.0005673212926942112
70.0,1.4859008172321721e-05,-8.049332298260234e-05,0.0012938088137791957,-7.693155034068544e-05,0.00019634530879207205,-0.00013517965560633688,-0.00040939149965630504
75.0,-6.252465327721179e-05,-0.00019352325244530787,0.0010996998082015042,-8.67399482045164e-05,0.00017924117390875807,-0.00013622335215713902,-0.00028121730082632815
80.0,-0.0001122362459254589,-0.00027902444733925153,0.000947023967480402,-9.604041246393696e-05,0.00016432479228364232,-0.00013553514159961525,-0.00018525442473856383
85.0,-0.00013497538482236512,-0.0003360983294798288,0.0008380947088332577,-0.00010449225642697423,0.0001521377658127131,-0.00013264389890480717,-0.0001223403315103546
90.0,-0.00013655742201693254,-0.00036751406641275463,0.000769357047561968,-0.00011334481633200214,0.00014300624708671184,-0.00012756539006589587,-8.842851971076027e-05
95.0,-0.0001207021602286542,-0.0003763114209644033,0.0007366704180162223,-0.00012296331297751207,0.00013644074520301118,-0.0001196208665230219,-7.988561227438827e-05
100.00000000000001,-9.358185834359219e-05,-0.000365560535259482,0.0007360631744632764,-0.0001322127419721328,0.0001334752494201011,-0.00010907884719592787,-9.230692695340075e-05
105.0,-5.7079265304831164e-05,-0.0003381602079197605,0.0007647651617470872,-0.00014139432153979965,0.0001344151607992224,-9.867240765184573e-05,-0.0001231752295074985
109.99999999999999,-1.4174521418078926e-05,-0.0002956510732220759,0.0008200071115651894,-0.00015066722501866069,0.00014011951193251802,-8.811455890935303e-05,-0.00017006050564167817
115.0,3.087508568272667e-05,-0.00024236299227393612,0.0008959809067481214,-0.00015742785234658813,0.00015082439357047746,-7.733598801159297e-05,-0.0002281643333856373
120.0,7.927644842424037e-05,-0.00018019521659381403,0.0009907410110714275,-0.0001617808593354857,0.00016814883378647627,-6.716328279544978e-05,-0.0002966074143006179
125.0,0.00012939343868774493,-0.0001131345576221878,0.0010979106208224567,-0.00016563068991895673,0.0001909914300506498,-5.790899547285467e-05,-0.0003713898339626713
130.0,0.0001788247680576014,-4.276429937780538e-05,0.0012091677300091297,-0.0001661345669934708,0.0002164678542427006,-5.0935846845068244e-05,-0.00044840939956297524
135.0,0.0002266493507988543,3.118782853466499e-05,0.0013221529778265828,-0.00016274864168443263,0.00024201424482143432,-4.725978081083524e-05,-0.0005266633857200341
