system_id,path_a,path_b,alignment,D_traj,similarity,D_geometry_frechet,D_local_environment,D_displacement_field,D_energy_profile,D_bond_topology
Sb2Te3Cr_61,1-2,1-3,forward,0.9110719562049914,0.40209296687971097,1.0,0.8919933412291695,0.6500263788647921,1.1734539164793487,0.8205025765283829
Sb2Te3Cr_61,1-2,1-4,forward,0.87155670419271,0.4182998729795743,1.0488551674746571,0.7566904727610219,0.18573846140542816,1.6229098401738251,0.8714336745289809
Sb2Te3Cr_61,1-2,1-5,forward,1.302432306894681,0.27186971758654366,1.054430534356834,0.984245521425272,2.2307066376870215,1.3662836711262711,0.8895788802496778
Sb2Te3Cr_61,1-2,1-6,forward,0.8554654746499628,0.42508527860296447,1.1047231131734667,1.0038934934177308,0.3587170138200497,0.8192926382579228,0.784378688407918
Sb2Te3Cr_61,1-2,1-7,forward,0.9078429229417526,0.403393436945267,1.1106044655064604,1.0,0.33410381048342075,1.1251305632298834,0.8907123670864784
Sb2Te3Cr_61,1-2,1-8,forward,1.4230541386141435,0.24097691496315013,1.8443313229004183,1.367858981569794,1.0460895693007275,1.1668705372846013,1.4354150189873374
Sb2Te3Cr_61,1-3,1-4,forward,0.9802837895537733,0.375204604593824,0.9570051536661215,1.1349946088649674,0.6934782376255787,1.28141565488104,0.7852559548042315
Sb2Te3Cr_61,1-3,1-5,forward,1.1010671847885818,0.33251603822425896,0.8236662540191418,0.8279105272965858,1.6043206651939488,1.492435920915244,1.0226015558261625
Sb2Te3Cr_61,1-3,1-6,forward,0.9291761648323419,0.3948788915231777,0.8361589402795135,1.0039202202558788,1.0,0.8846909108473204,0.9464479105742015
Sb2Te3Cr_61,1-3,1-7,forward,0.9478532850044308,0.38757213797277784,0.865954168573448,1.0265985728545042,0.9747038768231281,0.9098441056942989,1.0
Sb2Te3Cr_61,1-3,1-8,forward,1.4255378933028338,0.24037913010353132,1.8715917281227756,1.3458206057759459,1.239506973619239,0.8336559506508029,1.5465543610054642
Sb2Te3Cr_61,1-4,1-5,forward,1.110099750622322,0.3295260890032621,0.7061904760589893,0.8878011693795471,2.248122353289337,1.0,0.7666784480187118
Sb2Te3Cr_61,1-4,1-6,forward,0.7171791847888758,0.4881272324932689,0.7744368243761124,0.5033646284029197,0.3860012860839365,1.1772593564616418,1.052178196892786
Sb2Te3Cr_61,1-4,1-7,forward,0.6326763917483937,0.5311682825017411,0.6360900671359022,0.49561210903057634,0.3510679107541222,0.8959131421162495,1.1334579088171701
Sb2Te3Cr_61,1-4,1-8,forward,1.3049428111310974,0.27118804353960896,1.6794487147378196,1.3354065652681943,0.8975195577851532,0.8569272722180501,1.5921355300296467
Sb2Te3Cr_61,1-5,1-6,forward,1.282222987088736,0.2774199135998451,0.8746528414785606,0.8024864225099502,2.5818766021022523,1.3174509536818526,1.0521256554495197
Sb2Te3Cr_61,1-5,1-7,forward,1.262155516240335,0.2830432641295972,0.7952753631329248,0.817332911099454,2.5555569991235263,1.2985717009813178,1.1334252455369127
Sb2Te3Cr_61,1-5,1-8,forward,1.6540372597323327,0.1912761163093845,1.7823037680553062,1.3418910062846405,2.434932686743016,0.9177892152274983,1.592184581118527
Sb2Te3Cr_61,1-6,1-7,forward,0.25758834715574747,0.7729133386019104,0.41525038555585086,0.08919151814080475,0.052365414247849615,0.38760666847470115,0.4210126883301596
Sb2Te3Cr_61,1-6,1-8,forward,1.2723755573064632,0.28016528194496954,1.810812827067549,1.1980998950835504,1.1105837166773107,0.7177931352745984,0.9982102178865901
Sb2Te3Cr_61,1-7,1-8,forward,1.2423296019978598,0.28871085252802614,1.767636689114774,1.1939040767015063,1.0743573031323577,0.6473980372338676,1.0158140987649955
Sb2Te3Cr_81,81_neb_1,81_neb_2,forward,0.8638149237446695,0.42155082660504584,0.4930253516572384,0.9481588999942678,1.0,1.0795561195391907,1.1693417531805255
Sb2Te3Cr_81,81_neb_1,81_neb_3,forward,0.9087172733984734,0.4030408838593718,1.0,0.9933475847110168,0.590552082607075,0.7691815965131213,1.2689272122233597
Sb2Te3Cr_81,81_neb_1,81_neb_4,forward,1.179813480910648,0.30733605729698166,1.2866565397329004,1.0107063465481512,1.4009250159765232,0.9684588689379692,1.1568609881774
Sb2Te3Cr_81,81_neb_1,81_neb_5,forward,1.2682825900201589,0.28131433920148907,1.567157951683488,1.0901905005810058,0.9099727874548962,1.5105677866360079,1.1700785388348058
Sb2Te3Cr_81,81_neb_2,81_neb_3,forward,0.8734030956212026,0.4175282402667971,0.9019232158553534,0.5229072562338318,1.4965128766302789,0.8595706888184929,0.4386113815730874
Sb2Te3Cr_81,81_neb_2,81_neb_4,forward,0.6909210563298543,0.5011143019421498,1.0027136404341026,0.45316091950361875,0.45687777238810795,0.9763391975117102,0.38990300219340845
Sb2Te3Cr_81,81_neb_2,81_neb_5,forward,1.1828901825661273,0.3063919290858896,1.4828866211661418,1.157011706215695,0.47286263363970354,1.7255647110186423,0.9536403628162385
Sb2Te3Cr_81,81_neb_3,81_neb_4,forward,0.9812865418699386,0.3748285558809007,0.8906531703515672,0.5400238265563013,1.8853732995329235,1.0,0.5200997421880834
Sb2Te3Cr_81,81_neb_3,81_neb_5,forward,1.183582063794407,0.30618001557960073,0.9699995541911777,1.0928720678454735,1.3480359768163512,1.6649806347601634,1.0000988999839049
Sb2Te3Cr_81,81_neb_4,81_neb_5,forward,0.865827485067263,0.420703282868859,0.6180727763123864,1.0389104002774752,0.6919792432946857,1.3018873575355692,0.8699909981490571
