iteration,image_index,energy_eV,relative_energy_eV,energy_valid,source_sha256
0,1,0.0,0.0,False,d427897538d414e06bfe22594f2cd00979aac3926621d345339ea780e0ab25ec
0,2,0.0,0.0,False,d427897538d414e06bfe22594f2cd00979aac3926621d345339ea780e0ab25ec
0,3,0.0,0.0,False,d427897538d414e06bfe22594f2cd00979aac3926621d345339ea780e0ab25ec
0,4,0.0,0.0,False,d427897538d414e06bfe22594f2cd00979aac3926621d345339ea780e0ab25ec
0,5,0.0,0.0,False,d427897538d414e06bfe22594f2cd00979aac3926621d345339ea780e0ab25ec
1,1,-133597.43980900772,0.0,True,bdccf5d40132db97246c35a7194660589b08da6a88b72142f9386a3ac3ecd0db
1,2,-133597.2113155525,0.22849345521535724,True,bdccf5d40132db97246c35a7194660589b08da6a88b72142f9386a3ac3ecd0db
1,3,-133596.78907582452,0.6507331831962802,True,bdccf5d40132db97246c35a7194660589b08da6a88b72142f9386a3ac3ecd0db
1,4,-133597.15262023863,0.28718876908533275,True,bdccf5d40132db97246c35a7194660589b08da6a88b72142f9386a3ac3ecd0db
1,5,-133596.88187555244,0.557933455274906,True,bdccf5d40132db97246c35a7194660589b08da6a88b72142f9386a3ac3ecd0db
2,1,-133597.43980900772,0.0,True,92a74bb74f3123c1bbc9f8699bf63ba713aac65249dae61ce626ba639e4c3942
2,2,-133597.21100353586,0.2288054718519561,True,92a74bb74f3123c1bbc9f8699bf63ba713aac65249dae61ce626ba639e4c3942
2,3,-133596.78954599102,0.6502630166942254,True,92a74bb74f3123c1bbc9f8699bf63ba713aac65249dae61ce626ba639e4c3942
2,4,-133597.1532850291,0.2865239786042366,True,92a74bb74f3123c1bbc9f8699bf63ba713aac65249dae61ce626ba639e4c3942
2,5,-133596.88187555244,0.557933455274906,True,92a74bb74f3123c1bbc9f8699bf63ba713aac65249dae61ce626ba639e4c3942
3,1,-133597.43980900772,0.0,True,4e40b4c397f726e7d6c32e4c56510f6937b1fa3824c1be36a005dc833e63bbcc
3,2,-133597.16890205187,0.2709069558477495,True,4e40b4c397f726e7d6c32e4c56510f6937b1fa3824c1be36a005dc833e63bbcc
3,3,-133596.82328719294,0.6165218147798441,True,4e40b4c397f726e7d6c32e4c56510f6937b1fa3824c1be36a005dc833e63bbcc
3,4,-133597.20059696844,0.2392120392760262,True,4e40b4c397f726e7d6c32e4c56510f6937b1fa3824c1be36a005dc833e63bbcc
3,5,-133596.88187555244,0.557933455274906,True,4e40b4c397f726e7d6c32e4c56510f6937b1fa3824c1be36a005dc833e63bbcc
4,1,-133597.43980900772,0.0,True,b75964940993b32f02e409982b4c3ae5d0d313541a474443422564d20b65cc4f
4,2,-133597.0762044673,0.3636045404127799,True,b75964940993b32f02e409982b4c3ae5d0d313541a474443422564d20b65cc4f
