path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_005,octahedral,octahedral,1.0339,1.0339,1.443421,0.0,in_gap_or_open_channel_candidate,0.062712,0.742412,0.545804
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_019,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_019,octahedral,cn8_te4,1.3269,1.3269,-0.094696,0.47,mixed_transition_candidate,0.260823,0.462093,0.477139
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_020,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_020,octahedral,cn8_te4,2.0455,2.0455,2.069611,0.47,mixed_transition_candidate,0.334627,0.441711,0.40359
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_021,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_021,octahedral,cn8_te4,1.913,1.913,3.001618,0.47,mixed_transition_candidate,0.361325,0.425316,0.357699
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_022,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_022,octahedral,cn8_te4,1.4009,1.4009,3.588227,0.47,mixed_transition_candidate,0.370737,0.408837,0.318652
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_024,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_024,octahedral,cn8_te4,0.8869,0.8869,2.013276,0.47,mixed_transition_candidate,0.312899,0.42594,0.378706
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_025,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_025,octahedral,cn8_te4,2.0734,2.0734,1.348084,0.47,mixed_transition_candidate,0.312671,0.45333,0.437346
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_027,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_027,octahedral,cn8_te4,1.311,1.311,-0.095947,0.47,mixed_transition_candidate,0.260588,0.461845,0.476705
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_028,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_028,octahedral,cn8_te4,0.8178,0.8178,2.85492,0.47,mixed_transition_candidate,0.33788,0.411861,0.338463
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_031,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_031,octahedral,octahedral,1.3162,1.3162,-0.096222,0.0,in_gap_or_open_channel_candidate,0.025686,0.767415,0.61429
