method,perplexity,seed,overall,trustworthiness,Foundation,Scratch,FT-600K,FT-MultiT
tsne,5,0,0.3609682214192216,0.9696719671967197,0.7552508878071439,0.7232469533626585,-0.06027775712667769,0.02565280163376144
tsne,5,1,0.3609682214192216,0.9696719671967197,0.7552508878071439,0.7232469533626585,-0.06027775712667769,0.02565280163376144
tsne,5,2,0.3609682214192216,0.9696719671967197,0.7552508878071439,0.7232469533626585,-0.06027775712667769,0.02565280163376144
tsne,30,0,0.40894912943512746,0.9728335333533353,0.8949252749208219,0.798075882874695,-0.03779085610535823,-0.019413783949649127
tsne,30,1,0.40894912943512746,0.9728335333533353,0.8949252749208219,0.798075882874695,-0.03779085610535823,-0.019413783949649127
tsne,30,2,0.40894912943512746,0.9728335333533353,0.8949252749208219,0.798075882874695,-0.03779085610535823,-0.019413783949649127
tsne,50,0,0.4199872575311852,0.962941294129413,0.9311989533730891,0.8097550009731839,-0.06739356855529284,0.006388644333760678
tsne,50,1,0.4199872575311852,0.962941294129413,0.9311989533730891,0.8097550009731839,-0.06739356855529284,0.006388644333760678
tsne,50,2,0.4199872575311852,0.962941294129413,0.9311989533730891,0.8097550009731839,-0.06739356855529284,0.006388644333760678
phate,knn_default,0,0.4727716341901218,0.8743899389938994,0.9972667592924034,0.9406367563191558,-0.12483012172292521,0.07801314287185307
phate,knn_default,1,0.47264923808068937,0.8743136813681368,0.9972271179979184,0.9404787298431879,-0.12488129079845053,0.07777239528010164
phate,knn_default,2,0.4726988205873063,0.8762426242624263,0.9972466469676748,0.9406132884482208,-0.12480614688101606,0.07774149381434522
