optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
0,1,-223.2049446415382,-223.2049446415382,0.0,1.5297383341549227,1.5297383341549227,0.0
0,2,-223.0390043780334,-223.0390043780334,0.0,1.5787401658410436,1.5787401658410436,0.0
0,3,-224.00997351718104,-224.00997351718104,0.0,1.499901639917289,1.499901639917289,0.0
0,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
1,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
1,1,-223.64226895552142,-223.6408876958064,0.001381259714993764,1.3167931508766944,1.3094315852712108,0.014723201453732362
1,2,-223.46692554692476,-223.46576489202755,0.0011606548971990803,1.420265635264843,1.412351820060583,0.01582788544517316
1,3,-224.38181621925406,-224.380818973465,0.0009972457890620391,1.3557036067496517,1.3481953478016824,0.015020066209372959
1,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
2,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
2,1,-224.2882673516553,-224.27795145472749,0.01031589692780871,1.0721501157244007,1.0521854966938515,0.0399377781710388
2,2,-224.10534132733977,-224.0965773816389,0.00876394570088069,1.1529349969772456,1.1311293297994411,0.0436135865255713
2,3,-224.94181410752915,-224.93424710090494,0.0075670066242085506,1.1132512348204808,1.092529831963778,0.04145983266804181
2,4,-224.7994996468269,-224.7994996468269,0.0,1.3380726569034624,1.3380726569034624,0.0
3,0,-224.0849406296275,-224.0849406296275,0.0,1.4843128236182923,1.4843128236182923,0.0
3,1,-224.8009720861645,-224.7739517881632,0.027020298001292617,0.8465250510669827,0.8170640691994334,0.06565539699304986
3,2,-224.61574514296217,-224.59236341326024,0.023381729701924134,0.903403796348746,0.867681119310814,0.07146382731148036
